id_venta,fecha,cliente,producto,categoria,cantidad,precio_unitario,metodo_pago,ciudad,prediccion_venta_alta,interpretacion_prediccion,total_estimado,venta_alta_real_estimada,coincide
3001,2026-08-07,Cliente A,Monitor,Electronica,2,2500,Tarjeta,CDMX,1,Venta alta,5000,1,True
3002,2026-08-07,Cliente B,Teclado,Accesorios,1,300,Efectivo,Puebla,0,Venta no alta,300,0,True
3003,2026-08-07,Cliente C,Laptop,Electronica,1,15000,Transferencia,Guadalajara,1,Venta alta,15000,1,True
3004,2026-08-07,Cliente D,Cable HDMI,Accesorios,3,100,Efectivo,Monterrey,0,Venta no alta,300,0,True
3005,2026-08-07,Cliente E,Mouse,Accesorios,1,150,Efectivo,Merida,0,Venta no alta,150,0,True
3006,2026-08-07,Cliente F,Escritorio,Muebles,1,1050,Tarjeta,Tijuana,1,Venta alta,1050,1,True
3007,2026-08-07,Cliente G,Silla,Muebles,1,550,Tarjeta,Leon,1,Venta alta,550,0,False
3008,2026-08-07,Cliente H,Hub USB,Accesorios,2,490,Efectivo,Puebla,0,Venta no alta,980,0,True
3009,2026-08-07,Cliente I,Impresora 3D,NuevaCategoriaDIY,1,8000,Transferencia,NuevaCiudadTech,1,Venta alta,8000,1,True
3010,2026-08-07,Cliente J,Webcam,Accesorios,2,600,Tarjeta,CDMX,0,Venta no alta,1200,1,False
