id_venta,fecha,cliente,producto,categoria,cantidad,precio_unitario,metodo_pago,ciudad
2001,2026-08-07,Cliente A,Mouse,Accesorios,1,500,Efectivo,Cuernavaca
2002,2026-08-07,Cliente B,Laptop,Electronica,1,12000,Tarjeta,"Jiutepec, Nopalera"
2003,2026-08-07,Cliente C,Monitor,Electronica,2,700,Efectivo,"Tetecalita,Cuernavaca"
2004,2026-08-07,Cliente D,PC,Electronica,1,500,Tarjeta,"Jiutepec,Amatitlan"
2005,2026-08-07,Cliente E,Silla,Accesorios,2,600,Efectivo,"Chiconcuac,Cuernavaca"
2006,2026-08-07,Cliente F,Escritorio,Electrodomesicos,1,12000,Tarjeta,Jiutepec
2007,2026-08-07,Cliente G,Mueble,Electrodomesicos,1,700,Efectivo,Cuernavaca
2008,2026-08-07,Cliente H,Sofa,Electrodomesicos,3,12000,Tarjeta,Jiutepec
2009,2026-08-07,Cliente I,Closet,Electrodomesicos,1,400,Efectivo,Cuernavaca
2010,2026-08-07,Cliente J,Memoria,Electronica,3,12000,Tarjeta,Jiutepec
