id_venta,fecha,cliente,producto,categoria,cantidad,precio_unitario,metodo_pago,ciudad,prediccion_venta_alta,interpretacion_prediccion,total_estimado,venta_alta_real_estimada,coincide,distancia_a_1000
2001,07/08/2026,Cliente A,Mouse,Accesorios,2,500,Efectivo,Cuernavaca,0,Venta no alta,1000,1,False,0
2002,08/08/2026,Cliente B,Laptop,Electronica,1,12000,Tarjeta,Jiutepec,1,Venta alta,12000,1,True,11000
2003,09/08/2026,Cliente C,Mouse Pad,Accesorios,3,400,Efectivo,Temixco,0,Venta no alta,1200,1,False,200
2004,10/08/2026,Cliente D,Cargador,Accesorios,1,80,Tarjeta,Cuernavaca,0,Venta no alta,80,0,True,920
2005,11/08/2026,Cliente F,Funda Tablet,Accesorios,2,150,Efectivo,Jiutepec,0,Venta no alta,300,0,True,700
2006,12/08/2026,Cliente G,Soporte Celular,Accesorios,2,200,Efectivo,Emiliano Zapata,0,Venta no alta,400,0,True,600
2007,13/08/2026,Cliente H,Audifonos,Electronica,2,800,Tarjeta,Temixco,1,Venta alta,1600,1,True,600
2008,14/08/2026,Cliente I,Webcam,Electronica,1,400,Efectivo,Cuautla,1,Venta alta,400,0,False,600
2009,15/08/2026,Cliente J,Cable HDMI,Cables,2,120,Efectivo,Jiutepec,1,Venta alta,240,0,False,760
2010,16/08/2026,Cliente K,Memoria USB,Accesorios,2,80,Tarjeta,Temixco,0,Venta no alta,160,0,True,840
