id_venta,fecha,cliente,producto,categoria,cantidad,precio_unitario,metodo_pago,ciudad
2001,2026-08-07,Cliente A,Mouse,Accesorios,4,500,Efectivo,Cuernavaca
2002,2026-08-07,Cliente B,Laptop,Electronica,1,12000,Tarjeta,Jiutepec
2003,2026-08-08,Cliente C,Cuaderno,Papelería,2,45,Efectivo,Cuernavaca
2004,2026-08-09,Cliente D,Aretes,Joyería,3,150,Tarjeta,Jiutepec
2005,2026-08-09,Cliente E,Teclado,Accesorios,2,550,Efectivo,Temixco
2006,2026-08-10,Cliente F,Laptop,Electronica,4,230,Tarjeta,Emiliano Zapata
2007,2026-08-10,Cliente G,Mouse,Accesorios,2,450,Efectivo,Jojutla
2008,2026-08-11,Cliente H,TV,Electronica,4,2000,Tarjeta,Temixco
2009,2026-08-12,Cliente I,Tablet,Electronica,1,650,Efectivo,Cuernavaca
2010,2026-08-13,Cliente J,Plumones,Papelería,3,150,Tarjeta,Temixco
